Data extracted on 16/03/2026 10:21:46 from [ESTAT],,
Dataset: ,HICP - monthly data (index) [prc_hicp_midx__custom_20547183],
Last updated: ,06/02/2026 23:00,
,,
Time frequency,,Monthly
Unit of measure,,"Index, 2015=100"
Classification of individual consumption by purpose (COICOP),,All-items HICP
,,
GEO (Labels),Ireland,
TIME,,
2010-01,95.8,
2010-02,96.0,
2010-03,96.1,
2010-04,96.2,
2010-05,96.4,
2010-06,96.3,
2010-07,96.2,
2010-08,96.4,
2010-09,96.2,
2010-10,96.3,
2010-11,96.1,
2010-12,96.3,
2011-01,96.1,
2011-02,96.9,
2011-03,97.3,
2011-04,97.6,
2011-05,97.6,
2011-06,97.4,
2011-07,97.2,
2011-08,97.4,
2011-09,97.5,
2011-10,97.8,
2011-11,97.8,
2011-12,97.7,
2012-01,97.3,
2012-02,98.4,
2012-03,99.4,
2012-04,99.4,
2012-05,99.4,
2012-06,99.2,
2012-07,99.1,
2012-08,99.9,
2012-09,99.9,
2012-10,99.8,
2012-11,99.3,
2012-12,99.4,
2013-01,98.8,
2013-02,99.6,
2013-03,100.0,
2013-04,99.9,
2013-05,99.8,
2013-06,99.9,
2013-07,99.9,
2013-08,100.0,
2013-09,99.9,
2013-10,99.7,
2013-11,99.6,
2013-12,99.7,
2014-01,99.1,
2014-02,99.7,
2014-03,100.2,
2014-04,100.2,
2014-05,100.2,
2014-06,100.4,
2014-07,100.3,
2014-08,100.6,
2014-09,100.4,
2014-10,100.1,
2014-11,99.8,
2014-12,99.4,
2015-01,98.7,
2015-02,99.3,
2015-03,100.0,
2015-04,99.9,
2015-05,100.4,
2015-06,100.8,
2015-07,100.5,
2015-08,100.8,
2015-09,100.3,
2015-10,100.0,
2015-11,99.7,
2015-12,99.6,
2016-01,98.7,
2016-02,99.1,
2016-03,99.4,
2016-04,99.7,
2016-05,100.2,
2016-06,100.9,
2016-07,100.6,
2016-08,100.4,
2016-09,100.0,
2016-10,99.6,
2016-11,99.5,
2016-12,99.4,
2017-01,98.9,
2017-02,99.4,
2017-03,100.0,
2017-04,100.4,
2017-05,100.2,
2017-06,100.3,
2017-07,100.4,
2017-08,100.8,
2017-09,100.2,
2017-10,100.1,
2017-11,100.0,
2017-12,99.9,
2018-01,99.2,
2018-02,100.1,
2018-03,100.5,
2018-04,100.3,
2018-05,100.9,
2018-06,101.0,
2018-07,101.4,
2018-08,101.7,
2018-09,101.4,
2018-10,101.2,
2018-11,100.8,
2018-12,100.7,
2019-01,100.0,
2019-02,100.8,
2019-03,101.6,
2019-04,102.0,
2019-05,101.9,
2019-06,102.1,
2019-07,101.9,
2019-08,102.3,
2019-09,102.0,
2019-10,101.8,
2019-11,101.6,
2019-12,101.8,
2020-01,101.1,
2020-02,101.7,
2020-03,102.1,
2020-04,101.7,
2020-05,101.1,
2020-06,101.5,
2020-07,101.3,
2020-08,101.2,
2020-09,100.8,
2020-10,100.3,
2020-11,100.6,
2020-12,100.8,
2021-01,101.0,
2021-02,101.3,
2021-03,102.2,
2021-04,102.8,
2021-05,103.0,
2021-06,103.1,
2021-07,103.5,
2021-08,104.2,
2021-09,104.6,
2021-10,105.4,
2021-11,106.0,
2021-12,106.5,
2022-01,106.1,
2022-02,107.1,
2022-03,109.3,
2022-04,110.3,
2022-05,111.5,
2022-06,113.0,
2022-07,113.4,
2022-08,113.6,
2022-09,113.6,
2022-10,115.3,
2022-11,115.5,
2022-12,115.2,
2023-01,114.1,
2023-02,115.8,
2023-03,116.9,
2023-04,117.2,
2023-05,117.5,
2023-06,118.4,
2023-07,118.6,
2023-08,119.2,
2023-09,119.3,
2023-10,119.5,
2023-11,118.4,
2023-12,118.9,
2024-01,117.2,
2024-02,118.5,
2024-03,118.9,
2024-04,119.1,
2024-05,119.8,
2024-06,120.2,
2024-07,120.4,
2024-08,120.5,
2024-09,119.3,
2024-10,119.6,
2024-11,119.0,
2024-12,120.1,
2025-03,121.0,
2025-04,121.5,
2025-05,121.5,
2025-06,122.1,
2025-07,122.3,
2025-08,122.8,
2025-09,122.5,
2025-10,123.0,
2025-11,122.7,
2025-12,123.4,
,,
Special value,,
:,not available,
