date,NER,CPI_IE,CPI_US,RER,ln_NER,ln_RER,ln_CPI_IE,ln_CPI_US,ppp_resid,d_ln_NER,pi_IE,pi_US,pi_diff
01/01/2010,1.4266,95.8,217.488,3.238709612,0.355293991,1.175174982,4.562262685,5.382143677,1.175174982,,,,
01/02/2010,1.368,96,217.281,3.09625425,0.313349819,1.130193074,4.564348191,5.381191447,1.130193074,-0.041944172,0.002085506,-0.00095223,0.003037736
01/03/2010,1.357,96.1,217.353,3.069178158,0.305276381,1.121409825,4.565389316,5.38152276,1.121409825,-0.008073438,0.001041125,0.000331313,0.000709811
01/04/2010,1.3417,96.2,217.403,3.032116477,0.293937467,1.109260883,4.566429358,5.381752774,1.109260883,-0.011338914,0.001040042,0.000230014,0.000810028
01/05/2010,1.2563,96.4,217.29,2.831757541,0.228170893,1.040897558,4.568506202,5.381232867,1.040897558,-0.065766574,0.002076844,-0.000519907,0.002596751
01/06/2010,1.2223,96.3,217.199,2.756825937,0.20073433,1.014079995,4.567468319,5.380813984,1.014079995,-0.027436563,-0.001037883,-0.000418883,-0.000619
01/07/2010,1.2811,96.2,217.605,2.89785619,0.247719084,1.063971219,4.566429358,5.382681493,1.063971219,0.046984754,-0.001038961,0.001867509,-0.00290647
01/08/2010,1.2903,96.4,217.923,2.916867706,0.254874749,1.070510337,4.568506202,5.384141789,1.070510337,0.007155666,0.002076844,0.001460297,0.000616547
01/09/2010,1.3103,96.2,218.275,2.973032562,0.270256119,1.089582497,4.566429358,5.385755736,1.089582497,0.015381369,-0.002076844,0.001613946,-0.00369079
01/10/2010,1.3901,96.3,219.035,3.161791833,0.329375687,1.151138903,4.567468319,5.389231534,1.151138903,0.059119568,0.001038961,0.003475799,-0.002436838
01/11/2010,1.3654,96.1,219.59,3.119960312,0.311447426,1.137820281,4.565389316,5.391762171,1.137820281,-0.017928261,-0.002079003,0.002530637,-0.00460964
01/12/2010,1.3221,96.3,220.472,3.026853907,0.279221382,1.107523765,4.567468319,5.395770703,1.107523765,-0.032226044,0.002079003,0.004008531,-0.001929529
01/01/2011,1.3371,96.1,221.187,3.07751444,0.29050309,1.124122271,4.565389316,5.399008498,1.124122271,0.011281708,-0.002079003,0.003237795,-0.005316798
01/02/2011,1.3656,96.9,221.898,3.127181721,0.311593892,1.14013219,4.573679519,5.402217817,1.14013219,0.021090803,0.008290203,0.003209319,0.005080884
01/03/2011,1.402,97.3,223.046,3.213879671,0.337899789,1.167478828,4.577798989,5.407378028,1.167478828,0.026305896,0.00411947,0.005160211,-0.001040741
01/04/2011,1.446,97.6,224.093,3.320066373,0.368801124,1.199984775,4.580877493,5.412061144,1.199984775,0.030901335,0.003078504,0.004683116,-0.001604612
01/05/2011,1.4335,97.6,224.806,3.301838125,0.360119006,1.194479321,4.580877493,5.415237808,1.194479321,-0.008682117,0,0.003176664,-0.003176664
01/06/2011,1.4403,97.4,224.806,3.324312955,0.364851425,1.201263023,4.578826211,5.415237808,1.201263023,0.004732419,-0.002051283,0,-0.002051283
01/07/2011,1.4275,97.2,225.395,3.310199203,0.355924663,1.19700837,4.576770711,5.417854419,1.19700837,-0.008926763,-0.002055499,0.002616611,-0.00467211
01/08/2011,1.4333,97.4,226.106,3.327286754,0.359979478,1.202157183,4.578826211,5.421003916,1.202157183,0.004054815,0.002055499,0.003149497,-0.001093998
01/09/2011,1.3747,97.5,226.597,3.194901496,0.318235525,1.161556257,4.579852378,5.423173109,1.161556257,-0.041743952,0.001026167,0.002169193,-0.001143026
01/10/2011,1.3732,97.8,226.75,3.183774029,0.317143783,1.158067295,4.582924577,5.423848089,1.158067295,-0.001091743,0.003072199,0.00067498,0.002397219
01/11/2011,1.3558,97.8,227.169,3.149240595,0.304391686,1.147161343,4.582924577,5.425694234,1.147161343,-0.012752097,0,0.001846145,-0.001846145
01/12/2011,1.3155,97.7,227.223,3.05948676,0.274216821,1.118247177,4.581901559,5.425931914,1.118247177,-0.030174865,-0.001023018,0.00023768,-0.001260698
01/01/2012,1.291,97.3,227.842,3.023062919,0.255417112,1.106270529,4.577798989,5.428652406,1.106270529,-0.01879971,-0.00410257,0.002720492,-0.006823062
01/02/2012,1.3238,98.4,228.329,3.071767583,0.280506389,1.122253156,4.589040804,5.430787571,1.122253156,0.025089277,0.011241815,0.002135165,0.00910665
01/03/2012,1.3208,99.4,228.807,3.040324805,0.278237614,1.111964353,4.599152114,5.432878853,1.111964353,-0.002268775,0.01011131,0.002091282,0.008020027
01/04/2012,1.316,99.4,229.187,3.034306761,0.274596833,1.109982983,4.599152114,5.434538264,1.109982983,-0.003640781,0,0.001659411,-0.001659411
01/05/2012,1.2806,99.4,228.713,2.946578147,0.247328718,1.080644547,4.599152114,5.432467942,1.080644547,-0.027268115,0,-0.002070322,0.002070322
01/06/2012,1.2541,99.2,228.524,2.889031738,0.226418184,1.060921407,4.597138014,5.431641238,1.060921407,-0.020910534,-0.002014099,-0.000826705,-0.001187395
01/07/2012,1.2278,99.1,228.59,2.832117074,0.20522395,1.041024515,4.596129441,5.431930006,1.041024515,-0.021194234,-0.001008573,0.000288768,-0.001297341
01/08/2012,1.2406,99.9,229.918,2.855217926,0.215595134,1.049148172,4.604169686,5.437722724,1.049148172,0.010371184,0.008040244,0.005792718,0.002247527
01/09/2012,1.2885,99.9,231.015,2.979607883,0.253478751,1.091791709,4.604169686,5.442482643,1.091791709,0.037883618,0,0.00475992,-0.00475992
01/10/2012,1.2974,99.8,231.638,3.011294,0.260362262,1.102369887,4.603168183,5.445175808,1.102369887,0.006883511,-0.001001502,0.002693165,-0.003694667
01/11/2012,1.2837,99.3,231.249,2.989469701,0.249746533,1.095096014,4.598145571,5.443495052,1.095096014,-0.010615729,-0.005022612,-0.001680756,-0.003341856
01/12/2012,1.3119,99.4,231.221,3.05169849,0.271476468,1.115698318,4.599152114,5.443373963,1.115698318,0.021729935,0.001006543,-0.000121089,0.001127632
01/01/2013,1.3304,98.8,231.679,3.119693741,0.285479649,1.137734837,4.593097605,5.445352793,1.137734837,0.014003181,-0.006054509,0.00197883,-0.008033339
01/02/2013,1.3347,99.6,232.937,3.121496123,0.288706547,1.138312414,4.601162165,5.450768031,1.138312414,0.003226899,0.00806456,0.005415238,0.002649322
01/03/2013,1.2953,100,232.282,3.008748746,0.258742329,1.101524293,4.605170186,5.447952151,1.101524293,-0.029964219,0.004008021,-0.00281588,0.006823901
01/04/2013,1.3025,99.9,231.797,3.022178103,0.264285495,1.105977798,4.604169686,5.445861989,1.105977798,0.005543166,-0.0010005,-0.002090162,0.001089662
01/05/2013,1.2983,99.8,231.893,3.016700219,0.261055716,1.104163591,4.603168183,5.446276058,1.104163591,-0.003229778,-0.001001502,0.00041407,-0.001415572
01/06/2013,1.3197,99.9,232.445,3.070647312,0.277404438,1.12188839,4.604169686,5.448653638,1.12188839,0.016348722,0.001001502,0.00237758,-0.001376077
01/07/2013,1.3088,99.9,232.9,3.051246446,0.269110687,1.115550178,4.604169686,5.450609177,1.115550178,-0.008293751,0,0.001955539,-0.001955539
01/08/2013,1.3314,100,233.456,3.108233184,0.28623102,1.134054457,4.605170186,5.452993623,1.134054457,0.017120333,0.0010005,0.002384446,-0.001383945
01/09/2013,1.3364,99.9,233.544,3.124206222,0.289979432,1.139180242,4.604169686,5.453370496,1.139180242,0.003748411,-0.0010005,0.000376874,-0.001377374
01/10/2013,1.3646,99.7,233.669,3.1982419,0.310861345,1.162601252,4.602165677,5.453905584,1.162601252,0.020881914,-0.002004009,0.000535088,-0.002539097
01/11/2013,1.3491,99.6,234.1,3.170926807,0.299437703,1.154023913,4.601162165,5.455748374,1.154023913,-0.011423642,-0.001003512,0.00184279,-0.002846303
01/12/2013,1.3708,99.7,234.719,3.227209681,0.315394511,1.171617888,4.602165677,5.458389054,1.171617888,0.015956808,0.001003512,0.002640679,-0.001637167
01/01/2014,1.3618,99.1,235.288,3.233251245,0.308807354,1.173488208,4.596129441,5.460810296,1.173488208,-0.006587157,-0.006036236,0.002421242,-0.008457477
01/02/2014,1.3665,99.7,235.547,3.22843506,0.312252726,1.171997518,4.602165677,5.461910469,1.171997518,0.003445372,0.006036236,0.001100173,0.004936062
01/03/2014,1.3828,100.2,236.028,3.257280623,0.324110429,1.180892682,4.607168189,5.463950442,1.180892682,0.011857703,0.005002512,0.002039973,0.002962539
01/04/2014,1.381,100.2,236.468,3.25910487,0.322807874,1.181452578,4.607168189,5.465812892,1.181452578,-0.001302555,0,0.00186245,-0.00186245
01/05/2014,1.3739,100.2,236.918,3.248519363,0.317653411,1.178199312,4.607168189,5.46771409,1.178199312,-0.005154463,0,0.001901197,-0.001901197
01/06/2014,1.3595,100.4,237.231,3.21230622,0.307116985,1.166989128,4.609162207,5.46903435,1.166989128,-0.010536426,0.001994019,0.00132026,0.000673758
01/07/2014,1.3533,100.3,237.498,3.204447093,0.302546054,1.164539562,4.608165695,5.470159202,1.164539562,-0.004570931,-0.000996512,0.001124852,-0.002121365
01/08/2014,1.3315,100.6,237.46,3.142922366,0.286306126,1.145153057,4.611152258,5.469999188,1.145153057,-0.016239928,0.002986563,-0.000160014,0.003146577
01/09/2014,1.2889,100.4,237.477,3.048646467,0.253789141,1.114697711,4.609162207,5.470070777,1.114697711,-0.032516985,-0.00199005,7.16E-05,-0.002061639
01/10/2014,1.2677,100.1,237.43,3.006893217,0.237204235,1.100907392,4.606169686,5.469872843,1.100907392,-0.016584906,-0.002992521,-0.000197933,-0.002794587
01/11/2014,1.2473,99.8,236.983,2.961812584,0.220981215,1.08580144,4.603168183,5.467988409,1.08580144,-0.01622302,-0.003001503,-0.001884435,-0.001117068
01/12/2014,1.2329,99.4,236.252,2.930332905,0.209369118,1.075116036,4.599152114,5.464899032,1.075116036,-0.011612097,-0.00401607,-0.003089377,-0.000926693
01/01/2015,1.1615,98.7,234.747,2.762498891,0.149712273,1.016135665,4.592084946,5.458508338,1.016135665,-0.059656845,-0.007067167,-0.006390693,-0.000676474
01/02/2015,1.135,99.3,235.342,2.68996143,0.126632651,0.989526855,4.598145571,5.461039775,0.989526855,-0.023079622,0.006060625,0.002531437,0.003529188
01/03/2015,1.0819,100,235.976,2.553024344,0.078718755,0.937278674,4.605170186,5.463730105,0.937278674,-0.047913896,0.007024615,0.00269033,0.004334285
01/04/2015,1.0822,99.9,236.222,2.558953437,0.078996006,0.939598361,4.604169686,5.464772041,0.939598361,0.000277252,-0.0010005,0.001041936,-0.002042436
01/05/2015,1.1167,100.4,237.001,2.636045983,0.110377907,0.969280061,4.609162207,5.468064361,0.969280061,0.031381901,0.004992522,0.00329232,0.001700202
01/06/2015,1.1226,100.8,237.657,2.646763375,0.115647424,0.973337526,4.613138356,5.470828458,0.973337526,0.005269516,0.003976148,0.002764097,0.001212051
01/07/2015,1.0997,100.5,238.034,2.604636714,0.095037415,0.957293208,4.610157727,5.472413521,0.957293208,-0.020610008,-0.002980628,0.001585063,-0.004565691
01/08/2015,1.1136,100.8,238.033,2.629697905,0.107598011,0.966868974,4.613138356,5.47240932,0.966868974,0.012560595,0.002980628,-4.20E-06,0.002984829
01/09/2015,1.1229,100.3,237.498,2.658888377,0.115914625,0.977908132,4.608165695,5.470159202,0.977908132,0.008316614,-0.004972661,-0.002250117,-0.002722544
01/10/2015,1.1228,100,237.733,2.669266124,0.115825566,0.981803575,4.605170186,5.471148195,0.981803575,-8.91E-05,-0.002995509,0.000988993,-0.003984502
