,,Real effective exchange rate (index; narrow definition; 27 economies) - Australia - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Austria - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Belgium - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Canada - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Chinese Taipei - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Denmark - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Euro area - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Finland - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - France - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Germany - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Greece - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Hong Kong SAR - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Ireland - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Italy - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Japan - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Korea - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Mexico - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Netherlands - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - New Zealand - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Norway - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Portugal - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Singapore - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Spain - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Sweden - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Switzerland - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - United Kingdom - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - United States - BIS - Monthly
Date string,,Australia,Austria,Belgium,Canada,Chinese Taipei,Denmark,Euro area,Finland,France,Germany,Greece,Hong Kong SAR,Ireland,Italy,Japan,Korea,Mexico,Netherlands,New Zealand,Norway,Portugal,Singapore,Spain,Sweden,Switzerland,United Kingdom,United States
1964-01-31,1964-01-31,116.01,79,96.81,132.44,110.87,81.67,88.26,126.95,126.22,102.98,112.19,92.81,93.71,119.22,56.85,208.69,148.22,78.04,103,106.48,71.52,122.91,69.02,169.67,62.7,158.43,115.97
1964-02-29,1964-02-29,116.06,79.07,96.58,132.29,110.65,81.36,88.24,127.58,125.98,103.17,111.94,95.27,93.57,119.17,56.42,222.94,145.45,77.82,102.76,107.31,71.79,122.8,68.93,169.94,62.51,157.96,115.59
1964-03-31,1964-03-31,116.08,78.77,96.08,132.17,110.23,81.32,88.28,128.77,125.82,102.97,112.75,92.13,93.5,119.35,56.4,227.66,146.68,78.59,102.86,107.13,72.54,122.3,69.04,171.51,62.44,157.8,115.42
1964-04-30,1964-04-30,115.36,78.29,95.83,132.71,109,82.43,88.07,128.98,125.52,102.15,112.19,90.22,96.52,119.03,56.94,231.23,145.87,81.73,102.82,107.79,71.97,120.08,68.97,170.72,62.64,158.9,114.8
1964-05-31,1964-05-31,117.82,79.29,96.58,134.07,111.52,82.78,89.13,130.68,126.07,102.83,112.81,95.85,96.55,120.18,60.1,122.73,147.44,79.73,104.64,108.32,71.55,123.51,69.44,172.47,63.35,161.74,118.01
1964-06-30,1964-06-30,118.02,79.29,97.46,133.88,110.69,82.59,89.62,131.04,126.28,102.4,111.72,97.01,96.38,121.17,59.98,117.11,146.96,79.49,105.22,108.12,71.45,123.4,70.29,172.86,63.14,161.14,118.74
1964-07-31,1964-07-31,118.32,80.59,98.09,134.34,109.71,82.27,90.13,130.76,126.13,102.19,111.32,97.83,97.23,121.49,59.94,113.76,146.75,79.28,105.56,108.85,71.5,123.9,71.57,172.6,62.84,160.29,118.98
1964-08-31,1964-08-31,118.54,80.34,97.89,134.82,110.53,81.84,89.96,130.43,125.72,101.82,110.09,96.7,96.7,121.46,60.4,112.41,147.68,79.97,105.73,109.51,71.3,125.64,72.56,173.39,62.82,161.41,118.05
1964-09-30,1964-09-30,118.16,80.01,97.69,134.42,111.12,81.43,89.83,131.26,126.02,101.25,110.56,99.66,96.28,121.46,60.92,115.5,147.4,80.56,105.62,110.11,70.81,124.08,72.99,173.05,62.63,160.34,117.43
1964-10-31,1964-10-31,117.92,79.93,97.79,134.19,112.14,82.63,89.84,130.93,125.89,101.09,111,100.45,97.05,121.76,61.64,117.09,147.5,79.66,105.63,108.5,71.01,122.34,73.93,172.05,62.56,159.51,116.59
1964-11-30,1964-11-30,118.04,79.49,97.95,133.99,111.76,82.29,90.22,131.05,125.36,101.31,109.71,101.1,96.88,121.86,61.28,116.89,147.66,79.55,105.95,109.26,70.87,122.09,75.47,172.08,62.39,159.02,116.82
1964-12-31,1964-12-31,117.93,78.89,97.82,134.62,110,82.08,90.29,130.86,124.71,101.82,111.06,96.25,96.51,121.83,61.53,117.64,147.77,79.2,105.89,108.93,70.69,123.14,76.06,172.32,62.22,160.4,116.4
1965-01-31,1965-01-31,117.01,78.98,97.47,134.4,107.75,83.09,90.26,130.8,124.48,101.38,110.48,92.99,97.17,121.77,62.62,121.75,147.92,80.89,105.36,108.33,70.57,122.6,76.46,172.26,61.93,159.7,115.56
1965-02-28,1965-02-28,117.15,78.81,97.6,134.12,107.43,82.92,90.53,131.09,124.65,101.21,109.4,93.84,97.2,121.81,62.13,124.81,147.64,80.78,105.23,108.19,70.47,122.13,77.68,171.96,61.87,159.59,115.52
1965-03-31,1965-03-31,117.17,78.87,97.31,133.06,106.76,82.59,90.76,131.54,124.21,101.52,110.01,94.71,96.92,121.7,62.29,123.24,148.73,81.12,104.91,110.02,71.09,121.08,78.05,172.47,61.5,158.92,115.8
1965-04-30,1965-04-30,117.06,78.56,96.93,133.46,106.38,83.67,90.08,130.78,123.86,101.15,110.33,94.06,97.76,121.26,63.01,123.72,148.74,81.33,104.07,109.29,71.58,118.35,78.18,172.11,61.36,161.7,115.22
1965-05-31,1965-05-31,117.73,80.47,97.87,133.4,107.03,83.47,90.36,131.09,123.89,100.75,110.99,94,97.67,121.42,62.54,123.29,150.82,81.44,104.16,109.13,70.91,119.33,78.31,171.51,61.85,161.41,115.1
1965-06-30,1965-06-30,117.8,83.01,97.65,134,107.21,83.01,90.68,131.13,125.59,100.58,110.55,93.83,97.25,121.03,62.28,120.69,150.17,81.01,104.34,108.74,70.41,119.5,77.55,171.62,62.02,160.43,115.54
1965-07-31,1965-07-31,118.24,82.11,97.98,133.91,107.47,85.19,90.35,131.51,124.26,100.67,110.52,95.82,97.54,121.43,61.92,120.73,148.5,81.03,104.89,109.28,70.6,118.83,77.71,175.44,62.35,160.28,115.74
1965-08-31,1965-08-31,118.28,82.13,97.88,134.38,107.88,84.99,89.98,131.66,123.58,100.24,110.36,95.5,97.16,121.54,62.02,121.51,149.12,81.66,105.06,108.05,70.9,119.24,78.01,175.01,62.7,161.73,115.29
1965-09-30,1965-09-30,118.33,81.5,97.89,134.42,107.82,85,89.85,130.81,123.58,99.93,110.95,95.95,97.06,121.43,62.9,120.35,149.13,81.78,104.78,108.83,72.02,118.97,78.51,175.07,62.67,161.48,114.66
1965-10-31,1965-10-31,118.56,80.83,97.69,134.11,106.36,86.22,89.79,131.35,123.49,100.32,111.49,96.57,97,120.88,63.52,118.84,148.77,81.45,104.42,107.38,72.32,118.77,78.69,174.78,62.61,161.27,114.62
1965-11-30,1965-11-30,119.17,80.72,97.83,134.92,106.67,85.96,90.25,131.09,123.03,100.69,111.17,95.66,96.81,120.39,63.11,117.16,150.29,81.81,104.49,108.23,72.69,119.72,80.18,174.19,62.95,160.78,114.43
